codigo;institucion
2020;INSTITUTO TECNOLOGICO SUPERIOR ISMAEL PEREZ PAZMIÑO
2022;INSTITUTO TECNOLOGICO SUPERIOR JOSE OCHOA LEON
2023;INSTITUTO TECNOLOGICO SUPERIOR JUBONES
2024;INSTITUTO SUPERIOR TECNOLOGICO PARTICULAR SUDAMERICANO
2026;INSTITUTO TECNOLOGICO SUPERIOR MANUEL ENCALADA ZUÑIGA
2027;INSTITUTO TECNOLOGICO SUPERIOR OCHO DE NOVIEMBRE
2029;INSTITUTO TECNOLOGICO SUPERIOR VICENTE FIERRO
2031;INSTITUTO TECNOLOGICO SUPERIOR ANGEL POLIBIO CHAVES
2033;INSTITUTO TECNOLOGICO SUPERIOR DUCHICELA SHIRY XII
2034;INSTITUTO TECNOLOGICO SUPERIOR GUARANDA
2036;INSTITUTO TECNOLOGICO SUPERIOR ALBERTO ENRIQUEZ
2037;INSTITUTO TECNOLOGICO SUPERIOR SAN PABLO DE ATENAS
2038;INSTITUTO TECNOLOGICO COTACACHI
2039;INSTITUTO TECNOLOGICO SUPERIOR 17 DE JULIO
2040;INSTITUTO TECNOLOGICO SUPERIOR IBARRA
2041;TECNOLOGICO SUPERIOR JOSE CHIRIBOGA GRIJALVA
2042;INSTITUTO TECNOLOGICO SUPERIOR LICEO ADUANERO
2044;INSTITUTO TECNOLOGICO SUPERIOR OTAVALO
2045;INSTITUTO TECNOLOGICO SUPERIOR REPUBLICA DEL ECUADOR
2046;INSTITUTO SUPERIOR TECNOLOGICO BEATRIZ CUEVA DE AYORA LOJA
2047;INSTITUTO TECNOLOGICO SUPERIOR CARIAMANGA
2048;INSTITUTO TECNOLOGICO SUPERIOR LA CASTELLANA
2049;INSTITUTO TECNOLOGICO SUPERIOR MARIANO SAMANIEGO
2050;INSTITUTO TECNOLOGICO SUPERIOR DANIEL ALVAREZ BURNEO
2051;INSTITUTO TECNOLOGICO SUPERIOR NUESTRA SEÑORA DEL ROSARIO
2052;INSTITUTO TECNOLOGICO SUPERIOR EUGENIO ESPEJO
2053;INSTITUTO TECNOLOGICO SUPERIOR GENERAL ELOY ALFARO
2054;INSTITUTO TECNOLOGICO SUPERIOR HUALCOPO DUCHICELA
2055;INSTITUTO TECNOLOGICO SUPERIOR ISABEL DE GODIN
2056;INSTITUTO TECNOLOGICO SUPERIOR JATUN YACHAY WASI
2057;INSTITUTO TECNOLOGICO SUPERIOR JUAN DE VELASCO
2058;INSTITUTO TECNOLOGICO SUPERIOR MANUEL NAULA SAGÑAY
2059;INSTITUTO TECNOLOGICO SUPERIOR DOCTOR MISAEL ACOSTA SOLIS
2060;INSTITUTO TECNOLOGICO SUPERIOR PURUHA
2064;INSTITUTO TECNOLOGICO SUPERIOR SHIMIATUKKUNAPAK JATUN KAPARI
2065;INSTITUTO TECNOLOGICO SUPERIOR LA MANA
2066;INSTITUTO TECNOLOGICO SUPERIOR RAMON BARBA NARANJO
2067;INSTITUTO TECNOLOGICO SUPERIOR TRES DE MARZO
2068;INSTITUTO TECNOLOGICO SUPERIOR SIMON RODRIGUEZ
2069;INSTITUTO TECNOLOGICO SUPERIOR CALASANZ
2070;INSTITUTO TECNOLOGICO DOCTOR ENRIQUE NOBOA ARIZAGA
2071;INSTITUTO TECNOLOGICO SUPERIOR VICENTE LEON
2072;INSTITUTO TECNOLOGICO SUPERIOR SARAGURO
2073;INSTITUTO TECNOLOGICO SUPERIOR SUDAMERICANO
2078;INSTITUTO TECNOLOGICO SUPERIOR JUAN XXIII
2079;INSTITUTO TECNOLOGICO SUPERIOR TENA
